id,Title,Release_Year,Genre,Synopsis
876,Пуля-дура: Возвращение агента,2008,детектив,"Звезда «Бумера», сериалов «Братья Карамазовы» и «Москва. Центральный округ» Сергей Горобченко, а также Лев Дуров в комедийной детективной драме «Пуля-дура: Возвращение агента». Посмотреть на невероятные приключения и отважные поступки бывшего спецагента Боба Уточкина, который щелкает как орешки даже самые сложные дела, можно онлайн в нашем интернет-кинотеатре.
На этот раз все начинается с невинного флирта. Боб, неравнодушный к красивым женщинам, знакомится с одиноко сидящей в кафе девушкой. Юлия оказывается моделью, которая надеется получить роль в фильме, а пока она просто пережидает время до фотосессии у именитого мастера по фамилии Нумизматов. Боб решает проводить очаровательную Юлю, однако предполагаемая съемка оборачивается настоящим детективным расследованием: новоиспеченная парочка обнаруживает знаменитого фотохудожника мертвым. Бобу Уточкину предстоит распутать не только этот случай, но еще целый клубок загадочных смертей, которые следуют буквально одна за другой."
877,Меч победы,2013,фэнтези,"Мальчик по имени Айтуар подвергается травле со стороны одноклассников. Его жизнь неожиданно меняется, когда он находит легендарный меч победы – орудие исторического героя, помогающее своему владельцу побеждать в противостояниях. 
Айтуар никогда не был особенно сильным, храбрым или выносливым. В школе над парнем издеваются одноклассники – его бьют и заставляют носить их вещи. Однажды Айтуар находит могущественный исторический артефакт – меч победы, принадлежащий батыру Арыстану. Мальчик не знает, что вместе в оружием из прошлого в его время перенесётся сам батыр и его опасный враг…
Сможет ли Айтуар остановить силы зла и спасти мир? Приглашаем поклонников увлекательных приключенческих историй посмотреть онлайн «Меч победы». "
878,По секрету всему свету,2015,мелодрама,"Любимые зрителями актеры Глафира Тарханова, Руслан Ягудин и Иван Жидков собрались вместе в трогательной мелодраме «По секрету всему свету», созданной Романом Просвирниным, режиссером популярного сериала «Не родись красивой» (2005). Главная героиня фильма – стойкая девушка по имени Нюта, которая работает продавцом в магазине, а также воспитывает детей и ведет домашнее хозяйство. Кроме того, ей приходится содержать мужа и брата, которые сидят на ее шее и отказываются хоть как-то помогать в ежедневных заботах. Когда происходит неприятность, и после Нютиной смены магазин грабят, то хозяева вешают все на героиню, так что теперь ей предстоит выплачивать крупную сумму денег. Испугавшись проблем, муж тут же сбегает. Но неожиданно помощь предлагает тот, кто совсем недавно казался чужаком. Чтобы узнать, как Нюта найдет выход из сложившейся ситуации, рекомендуем смотреть онлайн фильм «По секрету всему свету»."
879,Без срока давности. Свои среди чужих,2019,документальный,"Документальный фильм об участии советских граждан и русских эмигрантов в антифашистском движении Сопротивления. Это не самые известные страницы военной истории, полные человеческих трагедий и настоящего героизма.

Героями фильма стали Марина Марутаева, уехавшая из России в раннем возрасте, невестка эмигрировавшего градоначальника Петрограда Вера Оболенская и Герой Советского Союза Василий Порик, попавший в плен в 1941 году. Во время Второй мировой Марину Шафрову-Марутаеву назвали «бельгийской Жанной Д’Арк»: она убила гитлеровского военного коменданта майора Крюге и сумела скрыться, не рассказав об этом даже близким. Когда гестаповцы начали карательную операцию, взяв в заложники шестьдесят человек, Марина Александровна сдалась, и Гитлер лично распорядился казнить ее через гильотинирование. Такая же казнь была уготована княгине Вере Оболенской, известной в парижском подполье как Вики. Завершает фильм история советского лейтенанта Василия Васильевича Порика, бежавшего из немецкого плена и организовавшего партизанский отряд на севере Франции. В съемках проекта участвовали потомки самих героев и историки разных стран.

Предлагаем посмотреть онлайн познавательный документальный фильм о подвигах вне границ и времени «Без срока давности. Свои среди чужих»."
880,Визит дамы,1989,комедия,"Тонкая, остроумная и очень ироничная комедия Михаила Казакова, режиссера таких советских шедевров, как «Покровские ворота», «Здравствуйте, я ваша тетя» и «Человек-амфибия»! Сюжет картины основан на пьесе известного швейцарского драматурга Фридриха Дюрренматта, а главную роль в нем блистательно исполнила Екатерина Васильева! Если вы хотите найти необычную, увлекательную историю с элементами сатиры и тонкой иронии, то смотреть онлайн «Визит дамы» – это ваше решение!
Госпожа Цаханасьян – американская миллиардерша, но родом из маленького немецкого провинциального городка. Когда-то ее жестоко предал любимый человек, а жители города изгнали, оставив голодать на улице. Однако теперь город почти полностью разорен, как и бывшая любовь мисс Цаханасьян. Героиня предлагает жителям сделку: она жертвует городу миллиард долларов, но за это требует смерти своего бывшего возлюбленного, отца ее умершего ребенка. Сначала жители города резко отказываются от такого ужасного предложения, но вскоре совершенно меняют свои взгляды…"
881,Крепостные стены Калининграда,2014,документальный,"Калининград – удивительный город, известный, в числе прочего, впечатляющими памятниками военной инженерной мысли. Кёнигсберг в течение многих веков усиливал свой оборонный потенциал: в нём строили башни, бастионы, кольцо фортов, крепостные ворота. Сегодня историческое ядро Калининграда, в прошлом носившего название Кёнигсберг, составляют оборонные сооружения второй половины 19 века. Приглашаем всех, кто интересуется российской историей, отправиться в виртуальное путешествие и посмотреть онлайн документальный фильм «Крепостные стены Калининграда»."
882,Владивостокская крепость,2013,документальный,"История уникального оборонительного сооружения – одной из самых мощных в мире приморских крепостей, возведенной русскими инженерами и строителями по инициативе Павла Унтербергера. Созданная на рубеже XIX-ХХ века, она остается выдающимся образцом фортификационных сооружений и объектом культурного наследия народов России. Для того чтобы отправиться на виртуальную экскурсию в военно-исторический музей за 9000 километров от Москвы, предлагаем посмотреть онлайн документальный фильм «Владивостокская крепость»."
883,Александровский дворец,2012,документальный,"Увлекательная экскурсия в красивейший Александровский дворец и его живописный парк – излюбленную резиденцию императорской семьи. 
Александровский дворец расположен в Пушкине – пригороде Санкт-Петербурга. Этот роскошный архитектурный комплекс был построен для будущего императора Александра I. Дворец, связанный с ключевыми историческими событиями, стал свидетелем расцвета и заката царской России.
Приглашаем всех, кто интересуется российской историей, отправиться в виртуальное путешествие и посмотреть онлайн документальный фильм «Александровский дворец». "
884,Время печали ещё не пришло,1995,драма,"Сюрреалистический фильм начала девяностых, пронизанный аллегориями на наступление новой эры и роли стран и наций в этих мистических событиях. «Время печали еще не пришло» вы можете смотреть онлайн в нашем интернет-кинотеатре.
Нескольким людям, жителям одной деревни, которые раньше были дружны, одновременно приходит мысль о том, что хорошо бы вместе встретиться. Все они разных национальностей: Иванов — русский, как и Гриня, Яшка — цыган, Жиббаев — татарин, Шмуклер — еврей, а Вильман — тот и вовсе немец. Однажды в их деревню приехал Мефодий, который сказал, что спустя двадцать лет произойдет солнечное затмение, что будет символизировать наступление эры Водолея. Через 20 лет они встречаются и видят, что на том же месте вырос дуб. Под ним бывшие местные жители устраиваются праздновать и вспоминать былые дни. Яша утверждает, что Мефодий превратился в дуб и поэтому он с ними. Все уснули, и только один Иван понимает, что его занесло в какой-то неведомый самолет, летящий в Париж. Он пытается повернуть машину вспять."
885,Земля отцов,1966,драма,"Великая Отечественная война закончилась год назад. Старый казах вместе с внуком путешествует через всю страну, чтобы забрать тело своего покойного сына-солдата с маленького кладбища рядом с Ленинградом и похоронить его дома, в казахской степи. 
Эта поездка станет для странников настоящим приключением. Они увидят глобальные последствия войны для простых людей в разных уголках СССР. Попав в Ленинград, отец и сын погибшего героя поймут, что он погиб рядом со своими боевыми товарищами – теми, кто во время страшной войны стал для него новой семьёй. 
Фильм Шакена Аймантова часто называют одной из лучших работ режиссёра. Казахская лента была награждена множеством почётных кинематографических премий, в том числе зарубежных. Елеубай Умурзаков, исполнивший роль старика, который отчаянно хочет вернуть тело мёртвого сына домой, получил государственную премию Казахской СССР, а также награду всесоюзного кинофестиваля 1968 года за лучшую мужскую роль. 
Приглашаем поклонников советского кино посмотреть онлайн пронзительный казахский фильм «Земля отцов». "
886,Папа,2010,комедия,"Этот комедийный фильм рассказывает о профессиональном боксере по имени Зафар, чья жизнь внезапно перевернулась с ног на голову. По своей душевной простоте он становится папой малыша. Однако это в его планы не входило. Какие приключения ждут Зафара, вы узнаете, посмотрев онлайн фильм «Папа» в нашем интернет-кинотеатре."
887,Кем быть?,2013,приключения,"Многие девочки и мальчики не любят ходить в детский сад. Вот и маленькому Ване это надоело, и он решил пойти работать, как взрослый! Вот только, кем он будет работать, Ваня так и не придумал. Может быть, помогут друзья? Пусть каждый предложит Ване лучшую профессию! 
Мультфильм режиссера Анастасии Копыловой – это пять небольших историй, пять детских фантазий, которые открывают малышам огромный и интересный мир профессий. 
Мультфильм снят на базе Санкт-Петербургской студии документальных фильмов. Это одна из старейших российских студий: официально она была основана в 1932 году, однако ведет свою историю еще с начала XX века. На сегодняшний момент архив Петербургской студии насчитывает сотни художественных, документальных и анимационных фильмов. 
Мультфильм «Кем быть?» вы можете посмотреть онлайн на нашем сайте."
888,Перекресток,1963,драма,"Галия Исмаилова – врач скорой помощи, по-настоящему преданная своему делу. Она не боится выступать против начальства ради спасения пациентов. Только семейная жизнь не сложилась: от мужа Галия ушла, но он не может с этим смириться и продолжает ее преследовать, угрожая даже забрать их маленькую дочь. Со временем у Галии появляется достойный ухажер – честный и неподкупный судья Искандер. Но один трагический случай на службе оборачивается для них обоих суровым испытанием. Спеша на экстренный вызов, Галия Исмаилова уговаривает шофера Степана Егоровича выехать на неисправной машине за неимением другой. Они пошли на риск, чтобы спасти человеческую жизнь, но стали участниками аварии со смертельным исходом. В результате Степан предстает перед судом, а слушание по делу ведет Искандер.

Народные артисты СССР Фарида Шарипова и Асанали Ашимов в жизненной и человечной драме «Перекресток» режиссера Шакена Айманова. Ценителям проникновенного советского кино предлагаем посмотреть онлайн казахстанский фильм «Перекресток». "
889,Сагын (на киргизском языке),2016,драма,"Деревенский парень Сагын решает переехать из родного села в столичный Бишкек за лучшей жизнью. По началу всё складывается как нельзя лучше: он женится на любимой девушке Чынар, и скоро у них должен родится сынишка.
Но все радужные планы меняются, когда любимая Чынар умирает во время родов, и безутешный Сагын становится отцом-одиночкой для новорождённого мальчика. Однако молодой человек решает не сдаваться ради малыша. Спустя шесть лет судьба готовит новое испытание для Сагына: подросшего сына Эркина тайком от него увозят из города. 
Как будут развиваться события этой драматичной истории, можно узнать, посмотрев онлайн киргизский фильм «Сагын» на нашем сайте. "
890,Область высокого полета,2019,документальный,"Четыре истории, пять героев.
Они решают переехать в Ленинградскую область. Каждый день они совершают непривычные городскому жителю действия, считая это единственно верным способом быть собой. 
Первый герой - Василий Евхимович родом из Казани, но много лет был успешным веб-дизайнером в Москве. Устав от суеты столицы, мужчина переехал в небольшое поселение Верхние Мандроги, где реализовал свой творческий потенциал через создание исконно русского музыкального инструмента – колёсной лиры. 
Юрий Голованов создал туристическо- экологическую программу для детей, которая помогает организовывать различные мероприятия для школьников на природе. Ребята учатся ходить на лыжах зимой, а летом постигают премудрости выживания: как поставить палатку, нарубить дрова, и многое другое. 
Иеродиакон Диодор проживает на острове Коневец на Ладожском озере, где находится мужской монастырь. Герой расскажет о своём духовном пути и миссии, которую он видит в своей жизни. 
Супруги Натёкины создали в конце 90-х необычное место под названием «Приют Белоснежки». Там содержатся и живут на вольном выгуле разнообразные животные: от северных оленей до самых настоящих страусов! Столь необычное место пользуется большой популярностью у туристов, которым можно наблюдать за пушистыми зверями. 
Приглашаем посмотреть онлайн документальный фильм «Область высокого полёта» на нашем сайте. "
891,Повесть о настоящем Фиссоне,2018,документальный,"Биографический документальный фильм, рассказывающий о Вадиме Фиссоне – талантливом театральном режиссёре и удивительно сильном человеке. 
Театральный деятель Вадим Фиссон был не только талантливым профессионалом, но и вдохновляющим человеком, достойным огромного уважения. Он учился у Товстоногова, руководил знаменитым петербургским театром «Комик-Трест» и храбро преодолевал все трудности, с которым столкнулся, став «человеком с ограниченными возможностями» и оказавшись в инвалидной коляске. Приглашаем вас познакомиться с удивительной личностью Вадима Фиссона и посмотреть онлайн фильм «Повесть о настоящем Фиссоне», который рассказывает историю человека, который преодолевал жизненные трудности с помощью своей мудрости, чувства юмора и огромного таланта. "
892,На игре,2021,драма,"Школьница Варя втайне ото всех присоединяется к смертельной сетевой игре. Ни в школе, ни дома никто не придает значение ее необычному поведению и отстраненности. А правила «игры» тем временем становятся всё более жестокими и опасными. В последний момент Варя поймет, что играла не она, а играли ей.

 Цикл короткометражных фильмов по кибербезопасности предназначен для детей, подростков и их родителей. Каждый ролик рассказывает о реальных угрозах современной цифровой среды. Видеокурс от режиссера и сценариста Даниила Бергера учит распознавать интернет-злоумышленников, адекватно и своевременно оценивать опасность, применять на практике правила безопасного поведения в Сети. Предлагаем посмотреть онлайн актуальную короткометражку «На игре» о «группах смерти». "
893,Засада (1969),1970,детектив,"Чекист Шпалов приезжает в Киргизию, где происходит становление Советской власти, чтобы расследовать череду подозрительных убийств и провокаций. 
1920-е год. В Киргизии идёт гражданская война. В одной из южных застав происходит несколько загадочных убийств. Пограничники подозревают, что в регионе действует хитроумный противник – басмач отряда курбаши Бостонкула. Чтобы разобраться с ситуацией, на заставу присылают чекиста Шпалова. Удастся ли ему вычислить и обезвредить врага? 
Приглашаем вас посмотреть онлайн фильм «Засада». "
894,Волки,2009,драма,"Александр Колбышев, дебютировавший на «Беларусфильме» со своей картиной «Волки», рассказывает нам о жизни деревенского жителя Кирилла Полетаева, которому пришлось стать одним из многих особых заключенных. Посмотреть на жизнь жертвы режима можно онлайн.
На заметенную метелями и забытую Богом станцию прибывает эшелон с заключенными. Постоянная вьюга в этих местах играет свою роль, и наш герой, не упуская отличного шанса вырваться на свободу, сбегает из-под конвоя. Ему предстоит нелегкий путь через заснеженные непроходимые леса. Еле живой, совершенно обессилевший и замерзший Кирилл все же добирается до своей родной деревни. На него устраивают настоящую охоту. Ему удается спрятаться у местных жителей: Анны Захаровны, Шурки и председателя Кузьмича. Но им придется заплатить большую цену за свое милосердие. Все герои фильма буквально делятся на два лагеря – на тех, кто хорошо знают Полетаева и всячески пытается ему помочь, и тех, кто хладнокровно исполняет свой долг. Но, спасаясь от людей, наш герой набредает на стаю настоящих голодных волков, и тут ему уже никто не в силах помочь."
895,"Все то, о чем мы так долго мечтали",1997,боевик,"Напряженный боевик о злоключениях безвинного паренька, которого втянули в скверную историю. Посмотреть криминальную драму «Все то, о чем мы так долго мечтали» о том, почему некоторых желаний стоит бояться, вы можете онлайн на нашем сайте.
Николай на мели и мечтает подзаработать. Бывший сослуживец Леха - ныне успешный делец Алексей - поручает ему простое задание: перегнать «мерседес» в Россию для продажи. Посредники в Германии сразу кажутся Николаю подозрительными: они запрещают сбиваться с маршрута, делать остановки и даже снабжают едой в дорогу. Но у него другие планы на поездку. Он посещает публичный дом, случайно снимает русскую проститутку, а затем устраивает погром. Буйного иностранца забирает полиция и между делом проверяет «мерседес». Николай сражен открытием: в машине спрятан героин, а подаренная еда отравлена. Это значит, что старый друг его подставил, что полиция вцепится ему в горло, а мафия не успокоится, пока не устранит свидетеля.
Роли опального героя и влюбленной проститутки исполнили Заслуженные артисты России Николай Добрынин и Анна Терехова. Их убедительный тандем удостоился приза зрительских симпатий ФРК «Окно в Европу». Также фильм получил показательную награду от спонсоров НТВ и говорящий приз «Вера, Надежда, Любовь» на Минском международном фестивале. "
896,Заповедник Кивач,2013,документальный,"Виртуальная экскурсия в один из старейших заповедников России и в первый заповедник Республики Карелия. Его центральный объект – одноименный водопад Кивач на реке Суна. Живописные леса с могучими соснами, болотные топи, каменные исполины, богатый растительный и животный мир дают основание называть это место первозданной Карелией в миниатюре. Предлагаем посмотреть документальный фильм «Заповедник Кивач» онлайн."
897,Королёв,2009,биография,"История о трагическом периоде из биографии отца-основателя практической космонавтики Сергея Павловича Королева. В 1938 году молодого ученого-конструктора арестовывают, якобы как участника «троцкистской вредительской организации». В тюрьме, в шаге от расстрела, а позже на Колыме в ссылке Сергей Павлович мысленно возвращается в прошлое. Он вспоминает о знакомстве с Циолковским и талантливым изобретателем-энтузиастом Фридрихом Цандером, грезившем о Марсе; о первом удачном пуске ракеты ГИРД и создании Реактивного научно-исследовательского института. Его достижения уже высоки, но впереди Королеву предстоит долгий путь от нареченного «антисоветчика» до человека, сделавшего СССР передовой ракетно-космической державой; стоявшего за запуском первого искусственного спутника Земли и полетом Юрия Гагарина. 

Биографический фильм режиссера и сценариста Юрия Кары основан на книге «Отец» Натальи Королёвой. Главную роль великого конструктора исполнил Сергей Астахов. Для того чтобы поближе познакомиться с биографией человека-легенды ХХ века, предлагаем посмотреть онлайн фильм «Королев». "
898,Своя чужая жизнь,2005,драма,"Актриса Елизавета Боярская предстанет главной героиней в мини-сериале Александра Рогожкина («Особенности национальной охоты», «Кукушка»), который расскажет о нелегкой жизни отечественных кинематографистов. Рекомендуем посмотреть онлайн, как работают творческие люди в условиях российской бюрократии и ограниченности заказчиков. 

Действие разворачивается сразу в нескольких эпохах. В современном Санкт-Петербурге крупный телеканал делает заказ на производство исторического фильма. Собирается съемочная группа и с ходу наталкивается на серьезные трудности. Главным образом они связаны с нехваткой финансирования, не позволяющей воплотить все гениальные задумки сценариста. А талантливый автор, между тем, создает драматическую историю о Петрограде начала 20-х годов. На фоне знаменательных событий показаны судьбы простых людей, попавших в жернова постреволюционного кризиса. В фильме также снялись Леонид Громов, Андрей Ташков и Владимир Кошевой."
899,"Плюмбум, или Опасная игра",1987,драма,"Знаменитый советский художественный фильм-драма режиссера Вадима Абдрашитова, получивший золотую медаль Венецианского Кинофестиваля в 1987 году. Картина ставит перед нами непростой вопрос – какова цена справедливости? Может ли она оказаться непосильной? Когда пятнадцатилетний Руслан решает помогать милиции в борьбе с преступностью в родном городе, он руководствуется лишь идеалами добра и закона, однако ему только предстоит понять, что иногда для того, чтобы не поступиться собственными взглядами на добродетель, приходится от нее же отказаться. Посмотреть фильм «Плюмбум, или опасная игра» можно онлайн. 
Пятнадцатилетний Руслан движим собственным пониманием добра и для достижения цели – искоренения преступности в родном городе – решает немного обойти закон. Он втирается в доверие к различным асоциальным элементам – бомжам, барменам подпольных клубов, используя не только стандартные милицейские приемы, но и шантаж, подкуп и вымогательство. В определенный момент он даже арестовывает собственного отца и сам же его допрашивает. Однако насколько далеко он готов зайти?"
900,Один день на борту ледокола «Иван Крузенштерн»,2015,документальный,"Изобретение ледоколов стало большим толчком в мировом освоении водного пространства, ведь раньше льды, покрывающие значительные площади, были непреодолимым препятствием. В отличие от обычных кораблей ледоколы не являются туристическим транспортом. Но ведущий Александр Уваров решил испытать на себе жизнь обычного матроса и узнать больше о том, как функционирует такое интересное изобретение, как ледокол.
Приглашаем посмотреть онлайн документальный фильм «Один день на борту ледокола ""Иван Крузенштерн""» на нашем сайте."
901,Тарзан: Повелитель обезьян,1932,приключения,"Юная англичанка Джейн отправляется с экспедицией в африканские джунгли. Она знакомится с дикарем, воспитанным обезьянами, Тарзаном, который оказывается благороднее многих «цивилизованных» людей. Легендарный пловец ХХ века, ставший пятикратным олимпийским чемпионом и автором 67 мировых рекордов, Джонни Вайсмюллер в 1932 году дебютировал в большом кино в роли могучего Тарзана. Приключенческая лента «Тарзан: Повелитель обезьян» режиссера В.С. Ван Дайка стала первой главой классической кинофраншизы, основанной на книгах Эдгара Райса Берроуза.
 Путешественник-исследователь Джеймс Паркер собирает небольшую экспедицию в Африку на поиски «кладбища слонов», чтобы раздобыть ценную слоновью кость. К нему самовольно присоединяется его молодая, непоседливая и бесстрашная дочь Джейн, уставшая от цивилизации. В африканских джунглях их группа сталкивается с племенем обезьян. Джейн попадает в руки таинственного мужчины, выросшего в диких джунглях. Первый страх «пленницы» длится недолго: девушка быстро понимает, что странный дикарь не причинит ей вреда. Наоборот, он становится ее защитником, талантливым учеником и даже больше, чем другом, но они принадлежат слишком разным мирам. 

Ценителям приключенческой киноклассики предлагаем посмотреть онлайн фильм 1932 года «Тарзан: Повелитель обезьян»."
902,Заказ,2005,драма,"Героиню бросает муж. Она от отчаяния пытается покончить жизнь самоубийством, но не хватает силы духа. По странному стечению обстоятельств она оказывается свидетельницей нескольких заказных убийств.
Каждый раз на месте преступления она видит одного и того же человека, который, как ей кажется, эти преступления и совершает. Она заказывает и оплачивает ему свое убийство."
903,Рифмуется с любовью,2006,драма,"Ольга Николаевна работает детским онкологом и не понаслышке знает, как жестока иногда бывает болезнь, и какой немалый героизм требуется не только от пациентов, но и врачей.
Однажды к ней на приём попадает 15-летняя Марина. Ещё недавно весёлая и беззаботная девочка-подросток была настоящей радостью для своих родителей, но страшный диагноз подкосил всю семью. Обеспеченный отец Марины настаивает на лечении дочери за границей, но опытный врач Ольга Николаевна убеждена, что спасти ребёнка можно именно на родине. Девочке необходима пересадка костного мозга, но для этого нужно найти донора, подходящего по всем параметрам. Дело осложняется тем, что у Марины редкая группа крови, и в банке донор не находится необходимых совпадений. Мама девочки Светлана не может помочь ей в этой страшной ситуации, ведь она ожидает второго ребёнка. 
Видя безвыходность этой ситуации, самоотверженный врач, решается на рискованный шаг ради своей пациентки…
Как будут развиваться события этой драматической истории, можно узнать, посмотрев онлайн фильм «Рифмуется с любовью» на нашем сайте. "
